IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2023,true,,,,,,,,,,,,,32.51,,,,,,32.51,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2023,true,,,,,,,,,,,,,33.06,,,,,,33.06,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2023,true,,,,,,,,,,,,,33.28,,,,,,33.28,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2023,true,,,,,,,,,,,,,33.55,,,,,,33.55,,For antibiotics: only J01 and P01AB reported,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2023,true,,,,,,,,,,,,,36.3,,,,,,36.3,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,AMR,Americas,Country,HND,Honduras,Year,2023,true,,,,,,,,,,,,,5.66,,,,,,5.66,,Only use in the public sector reported,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2023,true,,,,,,,,,,,,,65.48,,,,,,65.48,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EMR,Eastern Mediterranean,Country,OMN,Oman,Year,2023,true,,,,,,,,,,,,,8.56,,,,,,8.56,,Only use in the public sector reported,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2023,true,,,,,,,,,,,,,9.17,,,,,,9.17,,Only use in the public sector reported,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2023,true,,,,,,,,,,,,,9.3,,,,,,9.3,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,WPR,Western Pacific,Country,SGP,Singapore,Year,2023,true,,,,,,,,,,,,,9.5,,,,,,9.5,,Incomplete data - the current source of data is limited as the antimicrobial sales data excludes data on generic drug use,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,AMR,Americas,Country,PER,Peru,Year,2022,true,,,,,,,,,,,,,10.12,,,,,,10.12,,,EN,2024-09-17T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,DEU,Germany,Year,2022,false,,,,,,,,,,,,,10.25,,,,,,10.25,,Only use in the community reported,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2022,false,,,,,,,,,,,,,10.41,,,,,,10.41,,,EN,2024-09-17T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,CHE,Switzerland,Year,2022,false,,,,,,,,,,,,,10.42,,,,,,10.42,,,EN,2024-09-17T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,UKR,Ukraine,Year,2022,false,,,,,,,,,,,,,10.67,,,,,,10.67,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,AUT,Austria,Year,2022,false,,,,,,,,,,,,,10.89,,,,,,10.89,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2022,false,,,,,,,,,,,,,11.32,,,,,,11.32,,For antibiotics: only J01 and P01AB reported,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,WPR,Western Pacific,Country,MYS,Malaysia,Year,2022,false,,,,,,,,,,,,,11.42,,,,,,11.42,,For antibiotics: only J01 and P01AB reported,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,NOR,Norway,Year,2022,false,,,,,,,,,,,,,11.77,,,,,,11.77,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,FIN,Finland,Year,2022,false,,,,,,,,,,,,,11.97,,,,,,11.97,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,EST,Estonia,Year,2022,false,,,,,,,,,,,,,12.41,,,,,,12.41,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,SVN,Slovenia,Year,2022,false,,,,,,,,,,,,,12.59,,,,,,12.59,,,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2022,false,,,,,,,,,,,,,12.77,,,,,,12.77,,For antibiotics: only J01 reported,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2022,false,,,,,,,,,,,,,13.83,,,,,,13.83,,Only use in the public sector reported,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,AFR,Africa,Country,SEN,Senegal,Year,2022,false,,,,,,,,,,,,,13.94,,,,,,13.94,,For antibiotics: only J01 reported,EN,2025-09-23T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,GLOBAL,Global,Country,HKG,"China, Hong Kong Special Administrative Region",Year,2022,false,,,,,,,,,,,,,14.11,,,,,,14.11,,,EN,2024-09-17T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,AMR,Americas,Country,CAN,Canada,Year,2022,false,,,,,,,,,,,,,14.79,,,,,,14.79,,,EN,2024-09-17T20:30:00.000Z
GLASSAMC_TC,Total use of antibacterials expressed as DDD per 1000 inhabitants per day,numeric,EUR,Europe,Country,HUN,Hungary,Year,2022,false,,,,,,,,,,,,,14.97,,,,,,14.97,,,EN,2025-09-23T20:30:00.000Z
